SampleLabel,SampleFilename,SampleColor,ControlLabel,ControlFilename,ControlColor
iniSeq10e5,data/iniSeq10e5.bed,#000000,NA,NA,NA
iniSeq10e1,data/iniSeq10e1.bed,#000000,NA,NA,NA
